回合结果，回合1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,,,,,,,,,,
"损益表, 千 USD, 全球",,,,,,,,,,
,,,,,,,,,,
,万物生长ING,津门创赋奇谭,虚怀若谷,Hades,从容应队,高雅人士队,PHY柿柿如意,“烽”狂输出队,决策全都队,星河万里
销售额合计,969762.6933141449,1079436.806689214,983499.0483275829,672511.5348239795,894306.5553755757,1208465.0492817974,1142157.4491338548,635332.9336916725,1035391.0584337547,737932.5699614417
,,,,,,,,,,
成本和费用,,,,,,,,,,
自身生产成本,422118.9745676322,480656.45114565594,389956.6800643965,277131.21378037106,369317.30392923823,597359.4622899476,581930.7078450287,257631.05258278595,427104.7678029015,317146.41938504594
功能成本,17764.631755354876,26309.99524817855,48140.858278970445,19060.452898254298,21245.42728064869,30581.95940251591,20256.233385818778,7037.020968221241,36530.32803816866,36188.264753722346
外包生产成本,123163.28639999998,117107.00080411554,106368.29279999998,123163.28639999998,106368.29279999998,123163.28639999998,106368.29279999998,98902.1212018675,109689.3977142857,123163.28639999998
运输和关税,0,0,0,0,0,0,0,0,0,0
研发,377000,270000,296365,339783,491365,291365,270000,288537,411365,521365
广告,95000,80000,75000,58000,50000,38400,102000,24100,75000,54500
行政管理,78802.23261631082,78802.23261631082,78802.23261631082,78802.23261631082,78802.23261631082,78802.23261631082,78802.23261631082,78802.23261631082,78802.23261631082,78802.23261631082
进口产品成本,0,0,0,0,0,0,0,0,0,0
成本和费用合计,1113849.125339298,1052875.679814261,994633.0637596778,895940.1856949362,1117098.2566261976,1159671.9407087741,1159357.4666471584,755009.4273691855,1138491.7261716668,1131165.203155079
,,,,,,,,,,
息税折旧及摊销前利润(EBITDA),-144086.4320251532,26561.126874953043,-11134.015432094922,-223428.6508709567,-222791.70125062193,48793.10857302323,-17200.017513303552,-119676.49367751298,-103100.66773791204,-393232.63319363724
固定资产折旧,126225,126225,126225,126225,126225,126225,126225,126225,126225,126225
,,,,,,,,,,
息税前利润(EBIT),-270311.4320251532,-99663.87312504696,-137359.01543209492,-349653.6508709567,-349016.70125062193,-77431.89142697677,-143425.01751330355,-245901.49367751298,-229325.66773791204,-519457.63319363724
财务费用净额,93753.16181925172,49909.1839046362,40055.666158804765,63259.56562272216,77756.53619590901,61355.74683493095,56899.93033571197,55976.74646257025,77295.80379714648,61378.43558862512
,,,,,,,,,,
税前利润,-364064.5938444049,-149573.05702968314,-177414.68159089968,-412913.21649367886,-426773.23744653095,-138787.63826190773,-200324.94784901553,-301878.24014008325,-306621.4715350585,-580836.0687822624
所得税,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,
本回合利润,-364064.5938444049,-149573.05702968314,-177414.68159089968,-412913.21649367886,-426773.23744653095,-138787.63826190773,-200324.94784901553,-301878.24014008325,-306621.4715350585,-580836.0687822624
,,,,,,,,,,
"资产负债表, 千 USD, 美国",,,,,,,,,,
,,,,,,,,,,
,万物生长ING,津门创赋奇谭,虚怀若谷,Hades,从容应队,高雅人士队,PHY柿柿如意,“烽”狂输出队,决策全都队,星河万里
资产,,,,,,,,,,
固定资产,715275,715275,715275,715275,715275,715275,715275,715275,715275,715275
应收账款,16092.020467785622,17408.392722180364,13680.027227607434,12871.994610651962,13810.147150183244,16730.862266329194,17854.640582812186,7889.5563021287635,17828.286762050986,13947.83296630478
